"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"174","SixZero","Double Black Diamond 16mm","180","Raw carbon fiber","5.3","Polymer Honeycomb","16","4.25","Hybrid","2018","8.0oz","114","","https://www.youtube.com/watch?v=PxQmrLKbuF0&ab_channel=PickleballStudio","http://bit.ly/3FZM4kq","PBSTUDIO 10% OFF","","","","High-end"
"175","Vulcan","V560 Power","149.99","Carbon Fiber","5.5","Polymer Honeycomb","13","4.25","Elongated","1372","8.4oz","120","5.99","","https://bit.ly/3HlC8lX","","","","","High-end"
"176","Vulcan","V560 Control","149.99","Fiberglass","5.5","Polymer Honeycomb","13","4.25","Elongated","1327","8.4oz","117","5.78","","https://bit.ly/3HlC8lX","","","","","High-end"
"177","Vulcan","v570CF2","149.99","Carbon Fiber","5.5","Polymer Honeycomb","16","4.25","Standard","1119","7.8-8.2oz","120","6.3","","https://bit.ly/3HlC8lX","","","","","High-end"
"178","Vulcan","v570FRP","149.99","Fiberglass","5.5","Polymer Honeycomb","16","4.25","Standard","1309","7.8-8.2oz","117","6.06","","https://bit.ly/3HlC8lX","","","","","High-end"
"179","Vatic Pro","Alchemy 13.5mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","13.5","4.25","Elongated","1704","8.0-8.5","113","6.04","https://youtu.be/eNOin3-KKlI?si=ZI1soj6GdCc89JAG","https://bit.ly/3rxCJfo","PBSTUDIO $10 OFF","","","","High-end"
"180","Vatic Pro","Alchemy 16mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1700","8.2-8.7","121","6.38","https://youtu.be/eNOin3-KKlI?si=ZI1soj6GdCc89JAG","https://bit.ly/3rxCJfo","PBSTUDIO $10 OFF","","","","High-end"
"190","Vatic Pro","V7 Carbon Fiber 16mm","139.99","Raw carbon fiber","5.3","Polymer Honeycomb","16","4.25","Elongated","2004","8.1oz average","119","6.78","https://www.youtube.com/watch?v=LtshfwtKrxk&ab_channel=PickleballStudio","https://bit.ly/3Z5YSOA","PBSTUDIO $10 OFF","","","","High-end"
"191","Vatic Pro","Flash Carbon Fiber 14mm","139.99","Raw carbon fiber","5.4","Polymer Honeycomb","14","4.25","Hybrid","2049","7.7oz average","111","6.18","https://www.youtube.com/watch?v=LtshfwtKrxk&ab_channel=PickleballStudio","https://bit.ly/3Metdo2","PBSTUDIO $10 OFF","PBSTUDIO","","$10","High-end"
"192","Vatic Pro","Flash Carbon Fiber 16mm","139.99","Raw carbon fiber","5.4","Polymer Honeycomb","16","4.25","Hybrid","1862","8.1-8.3oz","115","6.57","https://www.youtube.com/watch?v=LtshfwtKrxk&ab_channel=PickleballStudio","https://bit.ly/3Metdo2","PBSTUDIO $10 OFF","","Mine was not a production model. Actual RPM numbers could vary slightly.","","High-end"
"193","Vatic Pro","Prism v7","99.99","Raw carbon fiber","5.4","Polymer Honeycomb","16","4.25","Elongated","1941","8.3-8.5oz","128","6.74","https://www.youtube.com/watch?v=v5j8IV3cj4E&t=372s&ab_channel=PickleballStudio","https://bit.ly/43kXwzX","PBSTUDIO $10 OFF","","","","Midrange"
"194","Vatic Pro","Prism Flash 16mm","99.99","Raw carbon fiber","5.4","Polymer Honeycomb","16","4.25","Hybrid","1920","7.9-8.3oz","114","6.41","https://www.youtube.com/watch?v=v5j8IV3cj4E&t=372s&ab_channel=PickleballStudio","https://bit.ly/3JUcjdZ","PBSTUDIO $10 OFF","","","","Midrange"
"195","Vatic Pro","Prism Flash 14mm","99.99","Raw carbon fiber","5.4","Polymer Honeycomb","14","4.25","Hybrid","","7.7-7.9oz","110","6.31","","","","","","","Midrange"
"196","Volair","Mach 1 16mm","159.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.3","Elongated","1941","7.9oz average weight","114","6","https://www.youtube.com/watch?v=pujwtlQedWU&t=3s&ab_channel=PickleballStudio","http://bit.ly/3QCnMRu","PBSTUDIO for 10% OFF","PBSTUDIO","","10%","High-end"
"197","Volair","Mach 1 14mm","159.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.3","Elongated","","7.5oz","114","5.87","","https://bit.ly/3Leff66","PBSTUDIO for 10% OFF","","","","High-end"
"198","Volair","Mach 1 Forza 16mm","169.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","2018","8.2oz","117","6.56","","https://bit.ly/45KhuX0","PBSTUDIO 10% OFF","","","","High-end"
"199","Volair","Mach 1 Forza 14mm","169.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Elongated","","8oz","111","5.99","","https://bit.ly/44JSaz0","","","","","High-end"
"200","Veloz","Quadra 16mm","239","Carbon Fiber","5.4","Polymer Honeycomb","16","4.25","Standard","","8.0-8.5oz","114","6.74","","https://bit.ly/3qUEuU4","","","","","High-end"
"201","Veloz","Ellipse 16mm","239","Carbon Fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","","8.0-8.5oz","114","5.51","","https://bit.ly/3RdQlr0","","","","","High-end"
"202","Wild Monkeys","Pit Viper Ghost","99","Carbon Fiber","5","Polymer Honeycomb","13.5","4.25","Standard","998","7.9oz","113","7.08","","https://bit.ly/3LaUBmy","","","","","Midrange"
"203","Wild Monkeys","Prima Ghost","99","Carbon Fiber","5","Polymer Honeycomb","15","4.25","Elongated","1070","8.5oz","122","6.39","","https://bit.ly/3Hxskph","","","","","Midrange"
"204","Wild Monkeys","Prima 3k","99","Carbon Fiber","5.2","Polymer Honeycomb","15","4.5","Elongated","","8.2oz","116","6","","https://bit.ly/3r9PSv5","","","","","Midrange"
"205","Wild Monkeys","Grizzly 3k","99","Carbon Fiber","5.2","Polymer Honeycomb","16","4.5","Standard","","8.4oz","117","7.59","","https://bit.ly/44Ohjbz","","","","","Midrange"
"206","Wild Monkeys","Alpha 3k","99","Carbon Fiber","5","Polymer Honeycomb","13.5","4.5","Elongated","","8.2oz","116","6.06","","https://bit.ly/3LdRDhO","","","","","Midrange"
"207","Wild Monkeys","Falcon-E","99","Carbon Fiber","5","Polymer Honeycomb","13.5","4.25","Standard","","7.5","113","5.92","","https://bit.ly/45F7s9j","","","","","Midrange"
"208","Wild Monkeys","Caesar 3k","99","Carbon Fiber","5","Polymer Honeycomb","16","4.25","Elongated","","8.5","125","6.58","","https://bit.ly/3R6bLWW","","","","","Midrange"
"","Ace","","","","","","","","","","","","","","","","PBSTUDIO","","10%",""
"","","","","","","","","","","","","","","","","","PB","","",""
"","","","","","","","","","","","","","","","","","https://bit.ly/3HlC8lX","","",""
"","JustPaddles","","","","","","","","","","","","","","","","PBSTUDIO","","10% OFF Use this link: https://bit.ly/3HlC8lX",""
